scenario_dir,Label,CharacterName,ja,en,ko
scenarios_00_00100,00_00100_0440,@パシュパクル,"オシュトル……ネコネ……
母さんを頼んだぞ。{D000200}シューニャ{D-1}{D000300}パシュパクル{D-1}{D000500}教皇{D-1}{D000400}マヤカゥア{D-1}{D000800}トリコリ{D-1}{D000900}オシュトル{D-1}{D001000}ネコネ{D-1}",Oshtor... Nekone... Look after your mother...{D000200}シューニャ{D-1}{D000300}パシュパクル{D-1}{D000500}教皇{D-1}{D000400}マヤカゥア{D-1}{D000800}トリコリ{D-1}{D000900}オシュトル{D-1}{D001000}ネコネ{D-1},"오슈토르……네코네……
어머니를 부탁한다. {D000200}슈냐{D-1}{D000300}파쉬파쿠르{D-1}{D000500}교황{D-1}{D000400}마야카아{D-1}{D000800}토리코리{D-1}{D000900}오슈토르{D-1}{D001000}네코네{D-1}"
scenarios_01_00100,01_00100_0000,@オシュトル,━━ッ！？,Huh?!,━━!?
scenarios_01_00100,01_00100_0010,@オシュトル,何かと思えば{d001100}ダイコン{d-1}か。[紛*まぎ]らわしい……,"Just some {d001100}daikon{d-1}, eh? Sheesh...",뭔가 했더니 {d001100}무{d-1}인가. 헷갈리게……
scenarios_01_00100,01_00100_0020,@オシュトル,"[何処*どこ]から逃げ出してきたのか知らんが丁度いい。
母上への手土産とさせてもらうか。","I don't know whose field you've escaped from, but you'll make a tasty gift for Mother.","어디서 도망쳐 나온 건진 모르겠지만 마침 잘 됐군.
어머니께 드릴 선물로 삼아도 되겠어."
scenarios_01_00100,01_00110_0030,@オシュトル,"これで最後か。
妙に活きが良いというか、手強かったが……","It seems I'm done here. Those were some very lively veggies, and stronger than I expected...","이걸로 마지막인가.
묘하게 기운이 넘친다 싶더니, 제법 까다로웠지만……"
scenarios_01_00100,01_00110_0040,@ネコネ,[兄*あに]さま～、[兄*あに]さま～。,Dear brother! Dear brother!,오라버니~ 오라버니~.
scenarios_01_00100,01_00110_0050,@キウル,ま、待ってくださいネコネさん。,"D-Don't leave me behind, Nekone!","자, 잠깐만요 네코네 씨."
scenarios_01_00100,01_00110_0060,@ネコネ,やっと見つけたのです、[兄*あに]さま。,"Finally found you, dear brother!","드디어 찾았어요, 오라버니."
scenarios_01_00100,01_00110_0070,@オシュトル,どうした二人とも、そんなに急いで？,What brings you here in such a hurry?,"둘 다 왜 그래, 그렇게 급하게?"
scenarios_01_00100,01_00110_0080,@キウル,は、はい、ええと……,"Um... It's, uh...","하, 하이, 저……"
scenarios_01_00100,01_00110_0090,@ネコネ,御前が[兄*あに]さまを探していたのです。,The owlo's looking for you.,어전에서 오라버니를 찾고 있었어요.
scenarios_01_00100,01_00110_0100,@オシュトル,御前が？,The owlo?,어전에서?
scenarios_01_00100,01_00110_0110,@ネコネ,ハイです、[兄*あに]さまにお願いしたいことがあるとのことなのです。,Yes. I think he needs your help for something.,"네, 오라버니께 부탁드릴 일이 있다고 해서요."
scenarios_01_00100,01_00110_0120,@オシュトル,そうか、わざわざありがとな。,Thank you for coming all the way to tell me.,"그래, 일부러 와줬구나. 고맙다."
scenarios_01_00100,01_00110_0130,@ネコネ,い、妹として、とうぜんなのです……,I-I'm your sister. There's no need to thank me for little favors like this.,"그, 여동생으로서 당연한 일이에요……"
scenarios_01_00100,01_00110_0140,@キウル,う～……,Uh...,으~……
scenarios_01_00100,01_00110_0150,@オシュトル,よし判った。御前の頼みとあれば、すぐにでもお[伺*うかが]いしないとな。,"Well, if the owlo wants to see me, I'd better be on my way.","좋아, 알겠다. 어전의 부탁이라면 당장이라도 찾아뵈어야지."
scenarios_01_00100,01_00110_0160,@ネコネ,[兄*あに]さま、いっしょしてもいいですか？,"May I come with you, dear brother?","오라버니, 저도 같이 가도 되나요?"
scenarios_01_00100,01_00110_0170,@キウル,ボ、ボクもいっしょに……,I-I want to go too...,"저, 저도 같이……"
scenarios_01_00100,01_00110_0180,@オシュトル,ああ、なら三人で行くか。,"Of course. Let's all go together, then.","아아, 그럼 셋이서 갈까."
scenarios_01_00100,01_00110_0190,@ネコネ・キウル,"ハイです。
はい。{D001001}ネコネ{D-1}{D001200}キウル{D-1}{D100100}各能力の役割について{D-1}{D100200}エンカウントについて{D-1}{D100300}「逃走」について{D-1}{D101800}連環とは？{D-1}{D101900}ノックバックとは？{D-1}{D102000}宝石について{D-1}",Thank you.{D001001}ネコネ{D-1}{D001200}キウル{D-1}{D100100}各能力の役割について{D-1}{D100200}エンカウントについて{D-1}{D100300}「逃走」について{D-1}{D101800}連環とは？{D-1}{D101900}ノックバックとは？{D-1}{D102000}宝石について{D-1},"좋아요.
네. {D001001}네코네{D-1}{D001200}키우루{D-1}{D100100}각 능력의 역할에 대하여{D-1}{D100200}엔카운터에 대하여{D-1}{D100300}「도주」에 대하여{D-1}{D101800}연환이란?{D-1}{D101900}넉백이란?{D-1}{D102000}보석에 대하여{D-1}"
scenarios_01_00100,01_00200_0200,@市場の客一,ちょっとぉ。ここのところ、ずいぶんとお野菜が高いじゃないのさ。,What's with these prices? This is expensive for vegetables.,저기요. 요즘 들어 채소 값이 너무 비싸진 거 아니에요?
scenarios_01_00100,01_00200_0210,@市場の客二,お肉もだよ。これじゃあろくに選べやしない。,And the meat as well. It's not for my pocket.,고기도 마찬가지야. 이래선 제대로 고를 수도 없겠어.
scenarios_01_00100,01_00200_0220,@店の主人,すんません。不作ってえのか、ここんとこ色々あって仕方ねえんすよ。,"I'm sorry, but the harvest hasn't been so good. I've had no choice but to raise prices.","죄송합니다. 흉년이라 해야 하나, 요즘 이것저것 일이 있어서 어쩔 수가 없네요."
scenarios_01_00100,01_00200_0230,@店の主人,そうそう{d001300}陸ガニ{d-1}なんかどうです、お買い得ですぜ。巻いてよし、鍋にしても美味いときたもんだ。,"I could offer you {d001300}land crabs{d-1} at a bargain. They're good in sushi. Lovely in a stew, too.","그러게요, {d001300}육지 게{d-1} 같은 건 어떠세요. 값도 괜찮습니다. 말아도 좋고, 탕으로 해도 맛있다 이 말이죠."
scenarios_01_00100,01_00200_0240,@市場の客一,"それって{d001400}ギギリ{d-1}のことじゃないさ。
下処理してる間に夜が明けちまうよ。",You mean the {d001400}gigiri{d-1}? I don't entertain the idea of spending an entire day preparing them before they're ready to cook.,"그거 {d001400}기기리{d-1} 말하는 거잖아요.
손질하다 보면 날 샌다니까요."
scenarios_01_00100,01_00200_0250,@市場の客二,ほらほら、いい男なんだしもう少しまけておくれよ。,"Come now, you're a good man. You can give us hard-pressed customers a discount, can't you?","거 봐요, 잘생긴 양반인데 조금만 더 깎아줘요."
scenarios_01_00100,01_00200_0260,@店の主人,いやぁ、困っちゃうなぁ……,"My heart bleeds for you, but I need to eke out a living too...","아이 참, 곤란하게 하시네……"
scenarios_01_00100,01_00200_0270,@オシュトル,…………,...,…………
scenarios_01_00100,01_00200_0280,@ネコネ,"御前のお話とは、きっとお肉やお野菜のことなのです。
ははさまも困っているのです。",Maybe the owlo wants to talk about our meat and vegetables becoming more expensive. Mother's been worried as well.,"어전의 말씀은 분명 고기나 채소 이야기일 거예요.
어머니도 곤란해하고 계세요."
scenarios_01_00100,01_00200_0290,@オシュトル,"確かに最近、野菜がどうとかぼやいてたな。
しかし、だとして俺に何の用が……{D026900}竹{D-1}{D015900}綿花{D-1}{D002000}タバリ山{D-1}","Ah yes, I remember her complaining about that. But what could I possibly do to remedy the situation?{D026900}竹{D-1}{D015900}綿花{D-1}{D002000}タバリ山{D-1}","확실히 요즘 채소가 어쩌고 투덜대긴 했지.
하지만 그렇다고 해도 나한테 무슨 용무가……{D026900}대나무{D-1}{D015900}면화{D-1}{D002000}타바리 산{D-1}"
scenarios_01_00100,01_00300_0300,@イラワジ,"来てくれたかオシュトル。[態々*わざわざ]すまぬな。
早々であるが、近頃作物が高騰しているという話は聞いておるか？","Thank you for coming, Oshtor. Let me get straight to the point. Are you aware of the steep rise in the prices of fresh produce?","와 줬느냐, 오슈토르. 일부러 불러 미안하구나.
바로 본론인데, 요즘 작물이 폭등하고 있다는 얘기는 들었느냐?"
scenarios_01_00100,01_00300_0310,@オシュトル,"はい、市場を通りかかったおりに。
母も同じようなことを[零*こぼ]しておりました。","Yes, I've taken notice as we passed through the marketplace. Mother remarked on it as well.","예, 시장을 지나가다 들었습니다.
어머니도 같은 이야길 하시더군요."
scenarios_01_00100,01_00300_0320,@イラワジ,"うむ、それなのだがな。
この{d001600}エンナカムイ{d-1}だけではなく、各地で問題となっておるそうだ。","It is very worrying. And it is not only a problem for {d001600}Ennakamuy{d-1}, but neighboring kingdoms too.","그래, 그 일이다.
이 {d001600}엔나카무이{d-1}만이 아니라 각지에서 문제라고 하더구나."
scenarios_01_00100,01_00300_0330,@イラワジ,何でも、例年と比べ[獣*ケモノ]がざわめいており、畑や[牧所*まきばどころ]が荒らされ収穫に響いておるとのことだ。,"This year, wild animals have been causing more damage to crops and livestock than usual, leading to a poor harvest.",뭐든 예년과 달리 짐승들이 소란스러워서 밭이나 목장이 망가져 수확에 지장이 생겼다고 한다.
scenarios_01_00100,01_00300_0340,@イラワジ,更にはその影響か、時期でもないのに走りものの野菜が逃走を始め、それを捕まえるにてんてこ舞いらしい。,"Perhaps this is also what is causing mobile vegetables to start moving about before their season, fleeing from farms to everyone's chagrin.","게다가 그 영향인지, 철도 아닌데 달아나는 채소가 생겨서 잡느라 난리라더군."
scenarios_01_00100,01_00300_0350,@オシュトル,そういうことか、道理でダイコンが……しかし[獣*ケモノ]が……異常繁殖か？　それとも……,"Ah, that explains why I encountered a runaway daikon earlier. So the wild beast populations are unusually large this year?","그런 일이었군, 그래서 무가……
하지만 짐승들이……이상 번식인가? 아니면……"
scenarios_01_00100,01_00300_0360,@イラワジ,故に注意を怠らないようにと朝廷より言付かったのだが、この郷まで[獣*ケモノ]が下りてくるなど滅多に無い。,"I have received a warning from the Imperial Court, but beasts rarely venture into our towns.","그래서 조정에서 방심하지 말라고 전해 왔지만, 이 마을까지 짐승이 내려오는 일은 드물다."
scenarios_01_00100,01_00300_0370,@イラワジ,そう心配することはないだろうと、高をくくっておったのだが……,"Unfortunately, I underestimated the gravity of the situation.",별일 없을 거라고 얕봤는데……
scenarios_01_00100,01_00300_0380,@イラワジ,"先日、郷の畑や[牧所*まきばどころ]に被害が出たと報せがあってなあ。
いやはや、参った参った。","Yesterday, I received a report of damage to nearby farmland. Who is to blame if not me for not having taken reasonable precautions?","며칠 전, 마을의 밭과 목장에 피해가 났다는 보고가 들어왔느니라.
아이고, 큰일이야 큰일이야."
scenarios_01_00100,01_00300_0390,@ネコネ,御前……,Your Grace...,어전……
scenarios_01_00100,01_00300_0400,@オシュトル,もしや、それを自分に何とかしろと[仰*おっしゃ]るのでは……,Would I be right in guessing that you'd like me to do something about this?,"설마, 그걸 저더러 어떻게든 하라고 하시는 건……"
scenarios_01_00100,01_00300_0410,@イラワジ,"うむ、[流石*さすが]はオシュトル、話がはやい。
いやいや、問題を解決しろなどと無茶は言わぬ。","Straight to the point, aren't you? Indeed. Of course, I am not requesting that you single-handedly solve the problem for me.","그래, 역시 오슈토르구나. 말이 빠르다.
아니아니, 문제를 해결하라며 무리한 소릴 하진 않겠다."
scenarios_01_00100,01_00300_0420,@イラワジ,原因を調べてもらいたいのだ。,All I am asking is that you investigate the cause.,원인을 조사해 주었으면 한다.
scenarios_01_00100,01_00300_0430,@オシュトル,そう言うことでしたら判りました。,"If that's what you need me to do, then consider it done.",그렇다면 알겠습니다.
scenarios_01_00100,01_00300_0440,@キウル,ボクも兄上を手伝います！,I'd like to help with that too!,저도 형님을 돕겠습니다!
scenarios_01_00100,01_00300_0450,@オシュトル,"すまん、キウル。
これはただの狩りとは違うんだ。判ってくれ。","I'm sorry, Kiwru, but this won't be just a regular hunt. Please understand.","미안하다, 키우루.
이건 그저 사냥이랑은 달라. 이해해 줘."
scenarios_01_00100,01_00300_0460,@ネコネ,キウルの気持ちはわかるですが、[兄*あに]さまの邪魔になってしまうです。,"That's really nice of you, Kiwru, but you'd only be in the way.","키우루 마음은 알지만, 오라버니께 방해가 될 거예요."
scenarios_01_00100,01_00300_0470,@ネコネ,それに、まだ宿題が終わってないのですよ。,"Besides, the last time I checked, you hadn't finished your homework yet.",게다가 아직 숙제도 다 못 했잖아요.
scenarios_01_00100,01_00300_0480,@キウル,"うぅ……
そ、そうですね……",Uh... That's true...,"으우……
그, 그렇네요……"
scenarios_01_00100,01_00300_0490,@ネコネ,判らないところは教えるですから、いっしょにお勉強がんばるです。,I can help you if there's anything you don't understand. Let's do it together!,"모르는 건 제가 알려줄 테니, 같이 공부 열심히 하자고요."
scenarios_01_00100,01_00300_0500,@キウル,は、はい！{D001500}イラワジ{D-1}{D001700}獣と化物{D-1},All right!{D001500}イラワジ{D-1}{D001700}獣と化物{D-1},"네, 네!{D001500}이라와지{D-1}{D001700}짐승과 괴물{D-1}"
scenarios_01_00100,01_00305_0510,@オシュトル,まずは、被害にあった[牧所*まきばどころ]に行ってみるか。,I should start by visiting the farm that reported damages.,우선 피해를 입은 목장부터 가 볼까.
scenarios_01_00100,01_00310_0520,@オシュトル,[何処*どこ]かへ行く前に、御前の頼みを終わらせないとな。,I must take care of the owlo's request before going off on my personal errands.,"어딘가로 가기 전에, 어전의 부탁부터 끝내야지."
scenarios_01_00100,01_00400_0530,@オシュトル,これは酷い……,This is terrible...,이건 심하군……
scenarios_01_00100,01_00400_0540,@飼育場の親父一,ホント、参っちまうよ。オレ達が大切に育ててきた{d001800}ホロロン鳥{d-1}をおおかたやられちまった。,We're devastated. Our prized flock of {d001800}hororons{d-1} has been decimated.,"정말이지, 큰일이야. 우리가 소중히 키워 온 {d001800}호로론 새{d-1}를 거의 다 당했어."
scenarios_01_00100,01_00400_0550,@飼育場の親父二,きっと{d001900}[野犬*オルケ]{d-1}の仕業に違ぇねえ。,I'm thinking it must've been an {d001900}Orke{d-1} that did it.,분명 {d001900}오르케{d-1} 짓이 틀림없어.
scenarios_01_00100,01_00400_0560,@飼育場の親父三,今までこんな里にまで下りてきたことは無かったってのに、一体どこから入り込んできやがった。,But where'd it come from? We've never had any stray into town before.,"여태 이런 마을까지 내려온 적은 없었는데, 대체 어디서 기어들어온 거야."
scenarios_01_00100,01_00400_0570,@オシュトル,柵が喰い破られている……たしかにオルケの仕業みたいだ。,It's bitten right through the fence. I would agree it could've been an orke.,울타리가 뜯겨 있군……확실히 오르케 짓처럼 보이긴 하는데.
scenarios_01_00100,01_00400_0580,@オシュトル,"……いや待て。
この牙と爪の痕……オルケにしては大きすぎないか？","No, hold on... These fang and claw marks are far too big.","……아니, 잠깐.
이 이빨과 발톱 자국……오르케치곤 너무 크지 않나?"
scenarios_01_00100,01_00400_0590,@オシュトル,これは、キウルを同行させないで正解だったな。,I'm glad I didn't let Kiwru come with me.,키우루를 데리고 오지 않길 잘했군.
scenarios_01_00100,01_00400_0600,@オシュトル,次は畑の様子を見に行くか。,I'd like to have a look around the fields.,다음은 밭 쪽을 보러 가자.
scenarios_01_00100,01_00500_0610,@農家の親父,"オシュトルさん、ここだ。
これを見てくれ。","Mr. Oshtor, over here. Take a look.","오슈토르 씨, 여기입니다.
이걸 좀 봐 주세요."
scenarios_01_00100,01_00500_0620,@オシュトル,この足跡……,Footprints...,이 발자국……
scenarios_01_00100,01_00500_0630,@オシュトル,[牧所*まきばどころ]のと同じか。やはりオルケよりも大きい。,"Hmm, it's just like at the ranch. The marks left behind are too large for an Orke.",목장의 것과 같군. 역시 오르케보다 더 크다.
scenarios_01_00100,01_00500_0640,@農家の親父,"こりゃあ、オルケなんかなぁ？
んでもなぁ、オルケに畑が荒らされたなんて、聞いたことねえしなぁ……","The only likely culprit I can think of is an Orke... But then again, I've never heard of an Orke messing up a field.","이거야 오르케겠지?
근데 말이야, 오르케가 밭을 망쳐 놨다는 얘긴 들어본 적도 없어서……"
scenarios_01_00100,01_00500_0650,@オシュトル,言われてみれば妙だな。オルケが家畜を襲うのは判るが、畑を荒らしたりするか？,"Yes, that indeed seems strange. Orkes are known to attack livestock, but why would they destroy crops?","듣고 보니 이상하군. 오르케가 가축을 습격하는 건 그렇다 쳐도, 밭을 망치기도 하나?"
scenarios_01_00100,01_00500_0660,@オシュトル,……ヒトの足跡？,"Wait, these don't look like animal tracks.",……사람 발자국?
scenarios_01_00100,01_00500_0670,@オシュトル,まさか畑荒らし？　いやしかし、このエンナカムイでか？,"Did someone destroy the crops on purpose? Here, in Ennakamuy?","설마 밭을 망친 범인이 사람? 하지만, 이 엔나카무이에서?"
scenarios_01_00100,01_00500_0680,@オシュトル,なあ、この足跡━━,These footprints here look like—,"야, 이 발자국━━"
scenarios_01_00100,01_00500_0690,@オシュトル,ん？,Hm?,응?
scenarios_01_00100,01_00500_0700,@？,モシャ、モシャ、ムグ、モグ。,"*Munch munch, crunch*","우적, 우적, 냠, 냠."
scenarios_01_00100,01_00500_0710,@？,ムグ……？,Hm...?,냠……?
scenarios_01_00100,01_00500_0720,@オシュトル,………,...,………
scenarios_01_00100,01_00500_0730,@？,…………,......,…………
scenarios_01_00100,01_00500_0740,@？,むぐむぐむぐむぐ……ゴクン。,*Munchmunchmunchmunch... gulp*,냠냠냠냠……꿀꺽.
scenarios_01_00100,01_00500_0750,@農家の親父,んああ！？　コラァ、ドロボー！,What the—! You thief!,"으아!? 이봐, 도둑놈!"
scenarios_01_00100,01_00500_0760,@オシュトル,…………ハッ！？,Huh?!,…………예!?
scenarios_01_00100,01_00500_0770,@オシュトル,ま、待てっ！,W-Wait!,"자, 잠깐!"
scenarios_01_00100,01_00500_0780,@オシュトル,クッ、すばしっこい。{D100400}状態異常の種類{D-1}{D100500}厄介な状態異常{D-1},"Darn, she's fast.{D100400}状態異常の種類{D-1}{D100500}厄介な状態異常{D-1}","큭, 재빠르군. {D100400}상태 이상 종류{D-1}{D100500}골치 아픈 상태 이상{D-1}"
scenarios_01_00100,01_00510_0790,@？,うあっ！？,Whoa!,으앗!?
scenarios_01_00100,01_00510_0800,@オシュトル,動くな！　手荒な真似をするつもりはない。,Stay where you are! I won't hurt you.,움직이지 마! 거칠게 할 생각은 없다.
scenarios_01_00100,01_00510_0810,@？,…………,...,…………
scenarios_01_00100,01_00510_0820,@オシュトル,見たところ、このエンナカムイの民ではないが、畑を荒らしたのはお前か？,"Based on your appearance, you're not from Ennakamuy. Was it you who destroyed the crops?","보아하니 이 엔나카무이의 백성은 아닌 것 같은데, 밭을 망친 게 너냐?"
scenarios_01_00100,01_00510_0830,@？,…………ッ！？,Huh?!,…………!?
scenarios_01_00100,01_00510_0840,@？,とう……さま？,F-Father...?,아……버지?
scenarios_01_00100,01_00510_0850,@オシュトル,……何？,Excuse me...?,……뭐?
scenarios_01_00100,01_00510_0860,@オシュトル,なッ！？,What are you—?!,뭐!? 
scenarios_01_00100,01_00510_0870,@？,"オシュトル……
そっか、オシュトルなんだ。","Oshtor... That's right, you're Oshtor.","오슈토르……
그랬구나, 오슈토르였네."
scenarios_01_00100,01_00510_0880,@オシュトル,"何を━━
やめろ、事情を聴きたいだけだ。","What are you doing? Stop, all I want is to ask you some questions!","무슨━━
그만둬, 사정만 듣고 싶을 뿐이야."
scenarios_01_00100,01_00510_0890,@？,ダメだよ。,"Oh no, no.",안 돼.
scenarios_01_00100,01_00510_0900,@？,キミがオシュトルだってこと、証明してもらわないとね。,"First, you must prove that you are, in fact, Oshtor.","네가 오슈토르라는 걸, 증명해 줘야겠어."
scenarios_01_00100,01_00510_0910,@オシュトル,何を言って━━、クッ！？,I don't understand... Gwah?!,"무슨 소릴━━, 크!?"
scenarios_01_00100,01_00510_0920,@オシュトル,"コイツ……中々に手強い。
見た目に惑わされるなという、いい見本だな。",You're pretty strong. I guess you really shouldn't ever judge a book by its cover.,"이 녀석……상당히 만만치 않군.
겉모습에 속지 말라는 좋은 본보기야."
scenarios_01_00100,01_00510_0930,@オシュトル,だが、俺である証明とか、どういう意味だ……,But what did you mean about making sure that I'm me?,"하지만, 내가 맞다는 증명이라니 무슨 뜻이지……"
scenarios_01_00100,01_00510_0940,@？,どうして本気で戦おうとしないの。,Why do you hold back?,왜 진심으로 싸우려 하지 않는 거야.
scenarios_01_00100,01_00510_0950,@？,一つ、モノノフとは━━,That's not what a Mononofu should ever do.,"하나, 무사란━━"
scenarios_01_00100,01_00510_0960,@？,"モノノフとは真摯であるべし。
相手を[侮*あなど]るなかれ。それ[即*すなわ]ち[傲*おご]りであり、恥ずべきことと心得よ。",A Mononofu warrior always attacks with full strength. Underestimating the opponent is an act of arrogance and shame.,"무사는 진실해야 한다.
상대를 업신여기지 말지니, 그것은 곧 오만이며 부끄러운 일임을 명심하라."
scenarios_01_00100,01_00510_0970,@オシュトル,━━ッ！？,Huh?!,━━!?
scenarios_01_00100,01_00510_0980,@？,父さまは、そう言っていたぞ。,That is what Father told me.,아버지는 그렇게 말했어.
scenarios_01_00100,01_00510_0990,@オシュトル,その口調……,The way you talk... is oddly familiar...,그 말투……
scenarios_01_00100,01_00510_1000,@？,オシュトルは違うのか？,"Do you not live by those rules, Oshtor?",오슈토르는 아닌 거야?
scenarios_01_00100,01_00510_1010,@？,父さまの、パシュパクルのムスコじゃないのか？,Are you not the son of my father Pashpakur?,"아버지, 파쉬파쿠르의 아들이 아니야?"
scenarios_01_00100,01_00510_1020,@？,良いかオシュトル。[武士*もののふ]の義とは、[己*おの]がためにあらず、弱き者を護るためにあるのだぞ。,"Mark my words, Oshtor. A Mononofu's duty is to fight not for oneself, but for those who are too weak to defend themselves.","좋아, 오슈토르. 무사의 의리란, 나 자신을 위함이 아니라 약한 이를 지키기 위해 있는 거다."
scenarios_01_00100,01_00510_1030,@オシュトル,オヤ……ジ……？,My... old man...?,아버지……?
scenarios_01_00100,01_00510_1040,@オシュトル,い、いや待て、何故[親父*オヤジ]の名を！？,Hold on! How come you know my old man's name?!,"아, 아니 잠깐만, 왜 아버지의 이름을!?"
scenarios_01_00100,01_00510_1050,@オシュトル,（ガキの頃に死んだ[親父*オヤジ]の名を、何故━━）,(He died when I was little. How could she possibly know him?),"(어릴 때 죽은 아버지 이름을, 왜━━)"
scenarios_01_00100,01_00510_1060,@？,どうして知りたいの？　父さまのムスコでないのなら、知らなくてもいいことだぞ。,"Why do you ask? If you're not Father's son, the answer is of no interest to you.","왜 알고 싶어? 아버지 아들이 아니라면, 몰라도 되는 일이야."
